Year,Nominee,Movie,Winner
1978,The Deer Hunter,The Deer Hunter,False
1978,An Unmarried Woman,An Unmarried Woman,False
1979,Kramer vs. Kramer,Kramer vs. Kramer,True
1979,Apocalypse Now,Apocalypse Now,False
1979,The China Syndrome,The China Syndrome,False
1979,Manhattan,Manhattan,False
1979,Norma Rae,Norma Rae,False
1980,Ordinary People,Ordinary People,True
1980,The Elephant Man,The Elephant Man,False
1980,The Ninth Configuration,The Ninth Configuration,False
1980,Raging Bull,Raging Bull,False
1980,The Stunt Man,The Stunt Man,False
1981,On Golden Pond,On Golden Pond,True
1981,The French Lieutenant's Woman,The French Lieutenant's Woman,False
1981,Prince of the City,Prince of the City,False
1981,Ragtime,Ragtime,False
1981,Reds,Reds,False
1982,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,True
1982,Missing,Missing,False
1982,An Officer and a Gentleman,An Officer and a Gentleman,False
1982,Sophie's Choice,Sophie's Choice,False
1982,The Verdict,The Verdict,False
1983,Terms of Endearment,Terms of Endearment,True
1983,"Reuben, Reuben","Reuben, Reuben",False
1983,The Right Stuff,The Right Stuff,False
1983,Silkwood,Silkwood,False
1983,Tender Mercies,Tender Mercies,False
1984,Amadeus,Amadeus,True
1984,The Cotton Club,The Cotton Club,False
1984,The Killing Fields,The Killing Fields,False
1984,Places in the Heart,Places in the Heart,False
1984,A Soldier's Story,A Soldier's Story,False
1985,Out of Africa,Out of Africa,True
1985,The Color Purple,The Color Purple,False
1985,Kiss of the Spider Woman,Kiss of the Spider Woman,False
1985,Runaway Train,Runaway Train,False
1985,Witness,Witness,False
1986,Platoon,Platoon,True
1986,Children of a Lesser God,Children of a Lesser God,False
1986,The Mission,The Mission,False
1986,Mona Lisa,Mona Lisa,False
1986,A Room with a View,A Room with a View,False
1986,Stand by Me,Stand by Me,False
1987,The Last Emperor,The Last Emperor,True
1987,Cry Freedom,Cry Freedom,False
1987,Empire of the Sun,Empire of the Sun,False
1987,Fatal Attraction,Fatal Attraction,False
1987,La Bamba,La Bamba,False
1987,Nuts,Nuts,False
1988,Rain Man,Rain Man,True
1988,The Accidental Tourist,The Accidental Tourist,False
1988,A Cry in the Dark,A Cry in the Dark,False
1988,Gorillas in the Mist,Gorillas in the Mist,False
1988,Mississippi Burning,Mississippi Burning,False
1988,Running on Empty,Running on Empty,False
1988,The Unbearable Lightness of Being,The Unbearable Lightness of Being,False
1989,Born on the Fourth of July,Born on the Fourth of July,True
1989,Crimes and Misdemeanors,Crimes and Misdemeanors,False
1989,Dead Poets Society,Dead Poets Society,False
1989,Do the Right Thing,Do the Right Thing,False
1989,Glory,Glory,False
1990,Dances with Wolves,Dances with Wolves,True
1990,Avalon,Avalon,False
1990,The Godfather Part III,The Godfather Part III,False
1990,Goodfellas,Goodfellas,False
1990,Reversal of Fortune,Reversal of Fortune,False
1991,Bugsy,Bugsy,True
1991,JFK,JFK,False
1991,The Prince of Tides,The Prince of Tides,False
1991,The Silence of the Lambs,The Silence of the Lambs,False
1991,Thelma & Louise,Thelma & Louise,False
1992,Scent of a Woman,Scent of a Woman,True
1992,The Crying Game,The Crying Game,False
1992,A Few Good Men,A Few Good Men,False
1992,Howards End,Howards End,False
1992,Unforgiven,Unforgiven,False
1993,Schindler's List,Schindler's List,True
1993,The Age of Innocence,The Age of Innocence,False
1993,In the Name of the Father,In the Name of the Father,False
1993,The Piano,The Piano,False
1993,The Remains of the Day,The Remains of the Day,False
1994,Forrest Gump,Forrest Gump,True
1994,Legends of the Fall,Legends of the Fall,False
1994,Nell,Nell,False
1994,Pulp Fiction,Pulp Fiction,False
1994,Quiz Show,Quiz Show,False
1995,Sense and Sensibility,Sense and Sensibility,True
1995,Apollo 13,Apollo 13,False
1995,Braveheart,Braveheart,False
1995,The Bridges of Madison County,The Bridges of Madison County,False
1995,Leaving Las Vegas,Leaving Las Vegas,False
1996,The English Patient,The English Patient,True
1996,Breaking the Waves,Breaking the Waves,False
1996,The People vs. Larry Flynt,The People vs. Larry Flynt,False
1996,Secrets & Lies,Secrets & Lies,False
1996,Shine,Shine,False
1997,Titanic,Titanic,True
1997,Amistad,Amistad,False
1997,The Boxer,The Boxer,False
1997,Good Will Hunting,Good Will Hunting,False
1997,L.A. Confidential,L.A. Confidential,False
1998,Saving Private Ryan,Saving Private Ryan,True
1998,Elizabeth,Elizabeth,False
1998,Gods and Monsters,Gods and Monsters,False
1998,The Horse Whisperer,The Horse Whisperer,False
1998,The Truman Show,The Truman Show,False
1999,American Beauty,American Beauty,True
1999,The End of the Affair,The End of the Affair,False
1999,The Hurricane,The Hurricane,False
1999,The Insider,The Insider,False
1999,The Talented Mr. Ripley,The Talented Mr. Ripley,False
2000[10],Gladiator,Gladiator,True
2000[10],Billy Elliot,Billy Elliot,False
2000[10],Erin Brockovich,Erin Brockovich,False
2000[10],Sunshine,Sunshine,False
2000[10],Traffic,Traffic,False
2000[10],Wonder Boys,Wonder Boys,False
2001,A Beautiful Mind,A Beautiful Mind,True
2001,In the Bedroom,In the Bedroom,False
2001,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
2001,The Man Who Wasn't There,The Man Who Wasn't There,False
2001,Mulholland Drive,Mulholland Drive,False
2002,The Hours,The Hours,True
2002,About Schmidt,About Schmidt,False
2002,Gangs of New York,Gangs of New York,False
2002,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,False
2002,The Pianist,The Pianist,False
2003,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
2003,Cold Mountain,Cold Mountain,False
2003,Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,False
2003,Mystic River,Mystic River,False
2003,Seabiscuit,Seabiscuit,False
2004,The Aviator,The Aviator,True
2004,Closer,Closer,False
2004,Finding Neverland,Finding Neverland,False
2004,Hotel Rwanda,Hotel Rwanda,False
2004,Kinsey,Kinsey,False
2004,Million Dollar Baby,Million Dollar Baby,False
2005,Brokeback Mountain,Brokeback Mountain,True
2005,The Constant Gardener,The Constant Gardener,False
2005,"Good Night, and Good Luck","Good Night, and Good Luck",False
2005,A History of Violence,A History of Violence,False
2005,Match Point,Match Point,False
2006,Babel,Babel,True
2006,Bobby,Bobby,False
2006,The Departed,The Departed,False
2006,Little Children,Little Children,False
2006,The Queen,The Queen,False
2007,Atonement,Atonement,True
2007,American Gangster,American Gangster,False
2007,Eastern Promises,Eastern Promises,False
2007,The Great Debaters,The Great Debaters,False
2007,Michael Clayton,Michael Clayton,False
2007,No Country for Old Men,No Country for Old Men,False
2007,There Will Be Blood,There Will Be Blood,False
2008,Slumdog Millionaire,Slumdog Millionaire,True
2008,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,False
2008,Frost/Nixon,Frost/Nixon,False
2008,The Reader,The Reader,False
2008,Revolutionary Road,Revolutionary Road,False
2009,Avatar,Avatar,True
2009,The Hurt Locker,The Hurt Locker,False
2009,Inglourious Basterds,Inglourious Basterds,False
2009,Precious,Precious,False
2009,Up in the Air,Up in the Air,False
2010,The Social Network,The Social Network,True
2010,Black Swan,Black Swan,False
2010,The Fighter,The Fighter,False
2010,Inception,Inception,False
2010,The King's Speech,The King's Speech,False
2011,The Descendants,The Descendants,True
2011,The Help,The Help,False
2011,Hugo,Hugo,False
2011,The Ides of March,The Ides of March,False
2011,Moneyball,Moneyball,False
2011,War Horse,War Horse,False
2012[11],Argo,Argo,True
2012[11],Django Unchained,Django Unchained,False
2012[11],Life of Pi,Life of Pi,False
2012[11],Lincoln,Lincoln,False
2012[11],Zero Dark Thirty,Zero Dark Thirty,False
2013[12],12 Years a Slave,12 Years a Slave,True
2013[12],Captain Phillips,Captain Phillips,False
2013[12],Gravity,Gravity,False
2013[12],Philomena,Philomena,False
2013[12],Rush,Rush,False
2014[13],Boyhood,Boyhood,True
2014[13],Foxcatcher,Foxcatcher,False
2014[13],The Imitation Game,The Imitation Game,False
2014[13],Selma,Selma,False
2014[13],The Theory of Everything,The Theory of Everything,False
2015[14],The Revenant,The Revenant,True
2015[14],Carol,Carol,False
2015[14],Mad Max: Fury Road,Mad Max: Fury Road,False
2015[14],Room,Room,False
2015[14],Spotlight,Spotlight,False
2016,Moonlight,Moonlight,True
2016,Hacksaw Ridge,Hacksaw Ridge,False
2016,Hell or High Water,Hell or High Water,False
2016,Lion,Lion,False
2016,Manchester by the Sea,Manchester by the Sea,False
2017,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",True
2017,Call Me by Your Name,Call Me by Your Name,False
2017,Dunkirk,Dunkirk,False
2017,The Post,The Post,False
2017,The Shape of Water,The Shape of Water,False
2018,Bohemian Rhapsody,Bohemian Rhapsody,True
2018,Black Panther,Black Panther,False
2018,BlacKkKlansman,BlacKkKlansman,False
2018,If Beale Street Could Talk,If Beale Street Could Talk,False
2018,A Star Is Born,A Star Is Born,False
2019,1917,1917,True
2019,The Irishman,The Irishman,False
2019,Joker,Joker,False
2019,Marriage Story,Marriage Story,False
2019,The Two Popes,The Two Popes,False
2020,Nomadland,Nomadland,True
2020,The Father,The Father,False
2020,Mank,Mank,False
2020,Promising Young Woman,Promising Young Woman,False
2020,The Trial of the Chicago 7,The Trial of the Chicago 7,False
2021,The Power of the Dog,The Power of the Dog,True
2021,Belfast,Belfast,False
2021,CODA,CODA,False
2021,Dune,Dune,False
2021,King Richard,King Richard,False
2022,The Fabelmans,The Fabelmans,True
2022,Avatar: The Way of Water,Avatar: The Way of Water,False
2022,Elvis,Elvis,False
2022,Tár,Tár,False
2022,Top Gun: Maverick,Top Gun: Maverick,False
2023,Oppenheimer,Oppenheimer,True
2023,Anatomy of a Fall,Anatomy of a Fall,False
2023,Killers of the Flower Moon,Killers of the Flower Moon,False
2023,Maestro,Maestro,False
2023,Past Lives,Past Lives,False
2023,The Zone of Interest,The Zone of Interest,False
2024[15][16],The Brutalist,The Brutalist,True
2024[15][16],A Complete Unknown,A Complete Unknown,False
2024[15][16],Conclave,Conclave,False
2024[15][16],Dune: Part Two,Dune: Part Two,False
2024[15][16],Nickel Boys,Nickel Boys,False
2024[15][16],September 5,September 5,False
2025[17][18],Hamnet,Hamnet,True
2025[17][18],Frankenstein,Frankenstein,False
2025[17][18],It Was Just an Accident,It Was Just an Accident,False
2025[17][18],The Secret Agent,The Secret Agent,False
2025[17][18],Sentimental Value,Sentimental Value,False
2025[17][18],Sinners,Sinners,False
